DifferenceValue 	 Stop
2580205844	4
2726265848	5
237328294	1
367360135	2
1823318887	3
2385354038	4
2575334179	5
894012937	1
2516020247	2
3939018912	3
86124710	1
109108171	2
266128134	3
2994124362	4
3306102774	5
523874362	1
879935818	2
1283890833	3
3083902142	4
3598922073	5
1504012764	1
1733992457	2
1754734148	3
3017982523	4
3186015433	5
2599134509	1
2813164307	2
3335145752	3
3827098617	4
3935121811	5
317454469	1
435477553	2
978470593	3
1815468215	4
1848451627	5
487620358	1
1362614787	2
1397678042	3
3643681581	4
3972674676	5
964750406	1
1103768744	2
1356760446	3
2047792247	4
2338785631	5
313348203	1
579330049	2
1447368504	3
1797347159	4
3561375986	5
771971503	1
1124958273	2
1410938370	3
3353910628	4
3579970749	5
1000188951	1
2113155689	2
2491135797	3
2873197601	4
2987140964	5
321220162	1
407163463	2
2207182569	3
3135221148	4
3889181351	5
909774901	1
1915806754	2
2565760158	3
3044780344	4
3276733748	5
1621507251	1
1829487296	2
1887510789	3
3139469230	4
3335451016	5
557823463	1
996815052	2
2948825958	3
3115767576	4
3213792719	5
1334407989	1
2100451299	2
2121194631	3
2236431354	4
2773431644	5
148347297	1
1036307570	2
2166347935	3
2594328217	4
3620285145	5
943830423	1
2196827522	2
2287810876	3
2745869432	4
3300862820	5
723010962	1
1249949564	2
2160971431	3
2805964935	4
3002026565	5
524528381	1
766508478	2
1302475165	3
1933465301	4
2034528787	5
125477298	1
1825482698	2
2593526212	3
2642509432	4
2762452796	5
111398911	1
240338907	2
1398397809	3
1589384402	4
2293362993	5
1063372563	1
1621404364	2
1823384343	3
1938369429	4
2734409645	5
813797658	1
859741013	2
1513771162	3
2186791338	4
2914769770	5
432907774	1
2002856354	2
3423856644	3
3467880047	4
3696901742	5
161447763	1
216429556	2
903442892	3
1346461331	4
2532499942	5
1335583265	1
1720526739	2
1741268155	3
3278579030	4
3513518909	5
240915346	1
741910416	2
2804882481	3
3235904268	4
3467884279	5
890821776	1
1544850301	2
2196826994	3
2617820385	4
2725843808	5
1244294525	1
1360317886	2
2498354822	3
3315354996	4
3976295163	5
597854180	1
1994854354	2
3132814590	3
3515809598	4
3865789822	5
568736203	1
1252716428	2
2447685065	3
2867666682	4
372992229	1
755020627	2
987960737	3
1198022425	4
3616004640	5
850498085	1
1915492745	2
2394485953	3
2771507707	4
3167485779	5
841615429	1
1304637149	2
1763640456	3
2077620475	4
3177575287	5
763489215	1
894509103	2
1785507654	3
2491487707	4
2943517801	5
1153091639	1
1835068360	2
2201103591	3
3046050432	4
3558082227	5
393332936	1
2002329629	2
3196288132	3
3521308207	4
3668324916	5
141065169	1
1415022915	2
1928011023	3
3468048963	4
3774002263	5
255841678	1
611874884	2
697898087	3
877877842	4
2271836979	5
175218840	1
265235320	2
565216519	3
928237815	4
2788262069	5
552169757	1
1650203207	2
2379223212	3
3558194980	4
3899215036	5
572742801	1
1677741176	2
2513702885	3
3302701201	4
3481721204	5
783958548	1
2193913263	2
2766906537	3
3053928165	4
3517908160	5
722604938	1
1072664480	2
1106608011	3
1963607373	4
2316627203	5
2226736658	1
2363758469	2
3614756381	3
3635499652	4
3705698173	5
577690053	1
1173721451	2
3182692548	3
3897682220	4
3960745648	5
158800495	1
947816908	2
1392809948	3
3378819227	4
3953760613	5
1682664411	1
2540704285	2
2952655825	3
3100715888	4
3417657275	5
1032197480	1
1093179202	2
2455214366	3
2541239497	4
2870231142	5
381764322	1
731744266	2
800729248	3
1740712085	4
2374763452	5
283940574	1
304683962	2
732918477	3
1123939762	4
3181949660	5
686423580	1
707406875	2
2239415343	3
3098413139	4
1148238337	1
2089257608	2
2114239149	3
3346216113	4
3918197255	5
942425728	1
1302405329	2
1805476353	3
3085429497	4
3187452693	5
434993097	1
883934716	2
1871976191	3
3006950842	4
3027695563	5
453019661	1
473759395	2
1293016239	3
2528994664	4
390470080	1
562459940	2
2181458026	3
2663410943	4
3927449155	5
613506205	1
956525747	2
1615541508	3
2246532345	4
3477530780	5
788073691	1
1360026325	2
1380769714	3
2042047134	4
2522081577	5
321994197	1
837971797	2
2347021646	3
2825963034	4
2873026172	5
205823810	1
723775057	2
2600773897	3
3048801944	4
3407821780	5
1449491940	1
1817471884	2
1931493506	3
3187453330	4
3353431644	5
274159184	1
483179086	2
755135799	3
775878952	4
2244175083	5
1628159149	1
2714113926	2
2761097171	3
3107128885	4
3655108650	5
61918171	1
121860017	2
775920025	3
2865847964	4
3829907798	5
183174211	1
1532171135	2
1897162372	3
2107142293	4
3759198932	5
1520642572	1
2087635551	2
2182697239	3
2203440457	4
2777685297	5
884755864	1
2006732061	2
2472711709	3
3169781582	4
3318721521	5
459513403	1
985493270	2
3199504235	3
3342522512	4
572800144	1
665835091	2
1552784424	3
3328804901	4
3758839557	5
358174095	1
897115077	2
1434187848	3
2043127089	4
3359135562	5
461925606	1
1407967103	2
1836960489	3
2023902050	4
3887931814	5
812645015	1
833388285	2
1388638169	3
1849581296	4
2473612875	5
92962620	1
979003945	2
1645947072	3
2937960009	4
3461939763	5
1302091656	1
1372083363	2
1544144994	3
1644086553	4
2771084755	5
530453339	1
717473298	2
883448350	3
3121461346	4
3169484786	5
184761948	1
688788545	2
937810064	3
2071766414	4
3129802930	5
433438777	1
1109390265	2
3176381443	3
3638363043	4
3803379992	5
1359270180	1
1945301714	2
1983325026	3
2156265077	4
2312321488	5
189361312	1
1122362704	2
1795372506	3
2684372448	4
3571375696	5
251142174	1
1509172009	2
2614171893	3
3325113338	4
3898183207	5
1619758933	1
2120781872	2
2737791733	3
3570790921	4
3674734280	5
591512961	1
645536281	2
1794527521	3
2559555481	4
2736547186	5
119568359	1
235561340	2
507542636	3
1169599741	4
1545552523	5
780727131	1
801470282	2
823668694	3
1686677052	4
1824745298	5
1214237005	1
1397256981	2
1419199992	3
1549228303	4
1843207592	5
314475255	1
1174433614	2
2283433266	3
2563412697	4
3554410899	5
131490665	1
934492114	2
2068449960	3
2927446429	4
3643481097	5
200325146	1
1272364733	2
1430393040	3
2151334427	4
3720385499	5
39174968	1
1115213899	2
1431192084	3
2518185991	4
2767205892	5
315666963	1
623726795	2
1195678102	3
2775688602	4
2054972678	1
2215034308	2
2543015604	3
3084033612	4
3965994663	5
1059232893	1
2756282358	2
2960264091	3
3027247216	4
3735278705	5
537569724	1
983549624	2
1285529497	3
1576524509	4
2013544287	5
699214344	1
2526262175	2
2691202168	3
2717222113	4
3269253595	5
282520253	1
485461757	2
575485202	3
1682484796	4
1757468083	5
386454032	1
532430655	2
3019453336	3
3146438370	4
3935384919	5
468480796	1
645557394	2
920498956	3
1594530415	4
3396488048	5
489523834	1
1408523196	2
2013514671	3
2381569459	4
3404570793	5
88633811	1
761573514	2
782635028	3
2320647665	4
2729587425	5
1352327237	1
1713347080	2
2349380222	3
2963361527	4
3619394669	5
574940632	1
2246948171	2
2354889944	3
2685909604	4
3789950936	5
54414710	1
75156244	2
1131370883	3
2033430541	4
3214430251	5
219676759	1
650670056	2
1119691564	3
1646682971	4
2687682623	5
488002147	1
1214993500	2
1478973189	3
3275944116	4
3408000812	5
922411336	1
2440417427	2
2858477201	3
3396428798	4
3566410292	5
528782682	1
1768740306	2
2012722039	3
2489791776	4
2510535062	5
76363107	1
100384592	2
1055384302	3
2261423809	4
2536365254	5
350356024	1
416350975	2
503332579	3
1348367398	4
1381315576	5
707640678	1
2367670848	2
2864663538	3
3931662668	4
237351408	1
278412923	2
1400372392	3
2718384912	4
2888364914	5
300771521	1
1276731006	2
1464714474	3
3027713777	4
3932713545	5
1523861075	1
1780882601	2
2709884051	3
3683846919	4
3999906982	5
1121628714	1
1374568709	2
1423631964	3
2832604863	4
3427626219	5
503290465	1
1961348262	2
2177328233	3
3609341121	4
3763320976	5
883086511	1
1327118102	2
1464137939	3
3075107610	4
3409085757	5
1435921780	1
1633981612	2
2088921374	3
2918962875	4
2999945969	5
385233181	1
848228078	2
945211375	3
1936229122	4
1981214275	5
176848617	1
475785190	2
675846762	3
2831777368	4
2932840790	5
1845935064	1
1866676597	2
2258993099	3
2609983065	4
2870922827	5
490007308	1
973987240	2
1756048406	3
2348003306	4
2368746520	5
1184310528	1
1406292257	2
2843264616	3
3310286109	4
3763279381	5
1910386362	1
1931129696	2
2319366362	3
2765342652	4
3537402253	5
640204339	1
1085225922	2
2134221977	3
2593215188	4
3040234857	5
1030377668	1
1398409250	2
1711429031	3
3170398377	4
3853418009	5
807756672	1
862740124	2
1568693012	3
3442726953	4
3983719991	5
195131672	1
928124710	2
1532075959	3
1649135965	4
3126131846	5
1441051084	1
2627092221	2
2647835488	3
3717091699	4
3938113293	5
2091614792	1
2398606265	2
2700667837	3
3272649071	4
491234322	1
2125191503	2
3192190981	3
3261172576	4
3401232465	5
40203415	1
127186630	2
147928334	3
697187964	4
1310137608	5
712328228	1
1127348019	2
2445358924	3
3556356667	4
3595336586	5
473626102	1
1762623782	2
1937615312	3
2224635094	4
2245373376	5
646880917	1
1027872273	2
1719933555	3
3373860961	4
3445884108	5
243607534	1
1417620242	2
2032641363	3
2289582809	4
3230580604	5
305477839	1
941515857	2
2402513304	3
2543508122	4
3724505685	5
291304432	1
516244312	2
929265730	3
2258233400	4
2857252960	5
41996693	1
1662004351	2
2347022277	3
2374004003	4
3680994721	5
371281875	1
1258311282	2
2152350523	3
2256292315	4
3385345013	5
314434449	1
733502554	2
1628501974	3
2552491259	4
3116446034	5
1448420159	1
1493403225	2
3039414070	3
3183395627	4
3947433440	5
1950589441	1
2019572735	2
2145597736	3
3080607134	4
3391556873	5
415415232	1
995393093	2
2133402429	3
2773382075	4
3782381553	5
1011289035	1
1258308846	2
2392268155	3
2686298083	4
3869295763	5
897106032	1
986060818	2
1045044344	3
2359091762	4
3255059600	5
143227491	1
652168936	2
1369196898	3
2095228187	4
2784221090	5
1152059538	1
1371001104	2
1574024109	3
1885044031	4
3125051755	5
665493118	1
1338481287	2
2220518849	3
2838501972	4
3282454783	5
107855890	1
1467883295	2
1576868187	3
1760849741	4
3177847189	5
115711275	1
479692775	2
620712550	3
1982718231	4
2867747797	5
121287251	1
585318814	2
1961274481	3
2089299440	4
3539325141	5
489818649	1
1728806215	2
2092787651	3
3137787071	4
3433768448	5
57906702	1
1072922636	2
2555970189	3
2819951725	4
3726949403	5
96143448	1
558176458	2
1492165726	3
1732145537	4
3403142520	5
214412093	1
1384369663	2
1474391242	3
1973384223	4
3060401883	5
302816850	1
398758410	2
1509755742	3
2604754756	4
3089774393	5
1451171265	1
2745208374	2
2894201706	3
3147141409	4
3966139032	5
817954348	1
1455986426	2
2432981322	3
2707922534	4
2958940516	5
432511726	1
1812469234	2
1888492512	3
2099513758	4
3210506850	5
1579898999	1
2337938138	2
2593919699	3
2832914364	4
3294895636	5
347487996	1
434551018	2
1314510483	3
2303509671	4
2565489388	5
270103602	1
927124652	2
1020107892	3
1057091254	4
1163079428	5
968749478	1
1306780892	2
1875800437	3
3078767959	4
3960755548	5
201091504	1
1431100611	2
1866120243	3
2778083035	4
3123104349	5
604786150	1
673847896	2
2823856193	3
3218795782	4
3428830720	5
520059485	1
1524017107	2
2529014787	3
3321055773	4
3841995361	5
36347308	1
516328396	2
1205321260	3
2038318940	4
2251340347	5
1039717113	1
1367778511	2
1919758120	3
3008755510	4
3793779961	5
1030962678	1
2025963664	2
2391946550	3
2913981204	4
3441960763	5
283459274	1
1684428044	2
2056409421	3
2956450340	4
3821451269	5
2344223581	1
2593245160	2
3093279758	3
3741234196	4
3841255801	5
65007252	1
556021832	2
915013285	3
1194032971	4
1480011081	5
1094962733	1
2334996842	2
2695989881	3
2723931673	4
3796929179	5
653981905	1
2051939124	2
3089978136	3
3110718122	4
3402927815	5
294714465	1
1155663840	2
1946666740	3
2287654691	4
3015714175	5
2094996052	1
2205019365	2
2698967199	3
3133983628	4
3391963483	5
650066968	1
805085190	2
2808053563	3
3146033426	4
3666066272	5
730950724	1
1260905277	2
1827924856	3
3125962267	4
3761915253	5
248948172	1
2977884454	2
3344905741	3
3798940400	4
972072498	1
1137092396	2
2184089960	3
2715111135	4
2818094369	5
18945096	1
601966376	2
2465974784	3
2696969507	4
3035907645	5
894486084	1
1998496869	2
3397492346	3
3609473740	4
613230631	1
959185352	2
1021210372	3
1878209559	4
3302168363	5
1101356327	1
1273336089	2
1871305599	3
2334326881	4
376376857	1
433360205	2
846381569	3
2701370184	4
3344361249	5
789878596	1
840856867	2
1931857389	3
3066856519	4
3367877900	5
1282974405	1
2007007016	2
3410960825	3
3832990540	4
400341015	1
492285764	2
1105316966	3
2973328391	4
3792326187	5
435732999	1
1240735610	2
1559677055	3
2226670034	4
2471691504	5
962292607	1
2129288219	2
2627267747	3
3052260613	4
3092283985	5
56035758	1
513023577	2
658043532	3
1173056293	4
2420028392	5
124551475	1
492581184	2
993524081	3
2399534351	4
3799572887	5
410639097	1
2110647625	2
2131390780	3
3252646349	4
3460626392	5
85218599	1
879181292	2
972164569	3
1140227650	4
1720177231	5
1223383583	1
1302366997	2
1796398179	3
2175338115	4
2361399455	5
1153516580	1
2301555601	2
2782496812	3
2907481855	4
3289539833	5
608030405	1
1020011779	2
1508041430	3
2627993901	4
3348025009	5
855203218	1
1404142807	2
1717154233	3
2023132366	4
2962134802	5
173608586	1
659588227	2
1647629150	3
1788579005	4
3909593969	5
1292509344	1
2348546772	2
2922502844	3
2956526059	4
3262504121	5
184702174	1
315720361	2
496660181	3
1757712473	4
3442710675	5
327399774	1
1276400703	2
1441420500	3
2295379758	4
3282378887	5
2102047004	1
2125027155	2
3283039343	3
3533020829	4
3573044160	5
156068940	1
901061514	2
1928059019	3
2640093147	4
2781036333	5
485177924	1
1079159004	2
1134142405	3
2520152677	4
2846133996	5
1291922010	1
2280922765	2
2702877321	3
3480866530	4
3568889910	5
430694462	1
703715930	2
2098685991	3
2665705486	4
3925744256	5
939887415	1
2494887473	2
2896920534	3
2917663619	4
3312938468	5
525250580	1
2607178569	2
3396252726	3
3441235965	4
3930228774	5
8339181	1
1001338311	2
1078321490	3
1967322360	4
2741361486	5
513701079	1
1080638928	2
2407635968	3
2438701021	4
3249631790	5
53829710	1
245809543	2
266552816	3
415829246	4
2211755683	5
803283760	1
1544274479	2
2182335181	3
2650286487	4
3096265662	5
739761599	1
1368701013	2
1596762527	3
1672700839	4
3227699273	5
230994373	1
689985613	2
2538021987	3
2773013517	4
2891996635	5
1211963498	1
1625946321	2
2882944986	3
3071964833	4
3912002321	5
304725291	1
617744838	2
1232739154	3
1410720709	4
2144701652	5
730703235	1
1133722827	2
1511702596	3
1532445803	4
2534663172	5
665996752	1
2187956643	2
2706949508	3
3327008759	4
3883999710	5
398711921	1
757703220	2
1763740603	3
2513728189	4
3912698173	5
1409370415	1
3306340236	2
3955361187	3
1007872738	1
1311847297	2
1347869220	3
2083903244	4
2273882945	5
1198812442	1
2469829208	2
2490572710	3
3100778717	4
3818809599	5
1446521295	1
1531504642	2
1761486074	3
