Channel A: 
Mode: 2
N1/T1: 257.62 µs
Channel B: 
Mode: 1
N2/T2: 257.62 µs
tau (ms)	g2 Values
-0.7297177059999971	0.0
-0.7257177059999971	0.0
-0.7217177059999971	0.0
-0.7177177059999971	0.0
-0.7137177059999971	0.0
-0.7097177059999971	0.0
-0.7057177059999971	0.0
-0.701717705999997	0.0
-0.697717705999997	0.0
-0.693717705999997	0.0
-0.689717705999997	0.0
-0.685717705999997	0.0
-0.681717705999997	0.0
-0.677717705999997	0.0
-0.673717705999997	0.0
-0.669717705999997	0.0
-0.665717705999997	0.0
-0.661717705999997	0.0
-0.657717705999997	0.0
-0.653717705999997	0.0
-0.649717705999997	0.0
-0.645717705999997	0.0
-0.641717705999997	0.0
-0.637717705999997	0.0
-0.633717705999997	0.0
-0.629717705999997	0.0
-0.625717705999997	0.0
-0.621717705999997	0.0
-0.617717705999997	0.0
-0.613717705999997	0.0
-0.609717705999997	0.0
-0.605717705999997	0.0
-0.601717705999997	0.0
-0.597717705999997	0.0
-0.593717705999997	0.0
-0.589717705999997	0.0
-0.585717705999997	0.0
-0.581717705999997	0.0
-0.5777177059999969	0.0
-0.5737177059999969	0.0
-0.5697177059999969	0.0
-0.5657177059999969	0.0
-0.5617177059999969	0.0
-0.5577177059999969	0.0
-0.5537177059999969	0.0
-0.5497177059999969	0.0
-0.5457177059999969	0.0
-0.5417177059999969	0.0
-0.5377177059999969	0.0
-0.5337177059999969	0.0
-0.5297177059999969	0.0
-0.5257177059999969	0.0
-0.5217177059999969	0.0
-0.5177177059999969	0.0
-0.5137177059999969	0.0
-0.5097177059999969	0.0
-0.5057177059999969	0.0
-0.5017177059999969	0.0
-0.4977177059999969	0.0
-0.49371770599999687	0.0
-0.48971770599999687	0.0
-0.48571770599999686	0.0
-0.48171770599999686	0.0
-0.47771770599999686	0.0
-0.47371770599999685	0.0
-0.46971770599999685	0.0
-0.46571770599999684	0.0
-0.46171770599999684	0.0
-0.45771770599999684	0.0
-0.45371770599999683	0.0
-0.44971770599999683	0.0
-0.4457177059999968	0.0
-0.4417177059999968	0.0
-0.4377177059999968	0.0
-0.4337177059999968	0.0
-0.4297177059999968	0.0
-0.4257177059999968	0.0
-0.4217177059999968	0.0
-0.4177177059999968	0.0
-0.4137177059999968	0.0
-0.4097177059999968	0.0
-0.4057177059999968	0.0
-0.4017177059999968	0.0
-0.3977177059999968	0.0
-0.3937177059999968	0.0
-0.3897177059999968	0.0
-0.3857177059999968	0.0
-0.38171770599999677	0.0
-0.37771770599999677	0.0
-0.37371770599999676	0.0
-0.36971770599999676	0.0
-0.36571770599999676	0.0
-0.36171770599999675	0.0
-0.35771770599999675	0.0
-0.35371770599999675	0.0
-0.34971770599999674	0.0
-0.34571770599999674	0.0
-0.34171770599999673	0.0
-0.33771770599999673	0.0
-0.3337177059999967	0.0
-0.3297177059999967	0.0
-0.3257177059999967	0.0
-0.3217177059999967	0.0
-0.3177177059999967	0.0
-0.3137177059999967	0.0
-0.3097177059999967	0.0
-0.3057177059999967	0.0
-0.3017177059999967	0.0
-0.2977177059999967	0.0
-0.2937177059999967	0.0
-0.2897177059999967	0.0
-0.2857177059999967	0.0
-0.2817177059999967	0.0
-0.2777177059999967	0.0
-0.2737177059999967	0.0
-0.26971770599999667	0.0
-0.26571770599999667	0.0
-0.26171770599999666	0.0
-0.25771770599999666	0.0
-0.25371770599999666	0.0
-0.24971770599999665	0.0
-0.24571770599999665	0.0
-0.24171770599999665	0.0
-0.23771770599999664	0.0
-0.23371770599999664	0.0
-0.22971770599999664	0.0
-0.22571770599999663	0.0
-0.22171770599999663	0.0
-0.21771770599999662	0.0
-0.21371770599999662	0.0
-0.20971770599999662	0.0
-0.20571770599999661	0.0
-0.2017177059999966	0.0
-0.1977177059999966	0.0
-0.1937177059999966	0.0
-0.1897177059999966	0.0
-0.1857177059999966	0.0
-0.1817177059999966	0.0
-0.1777177059999966	0.0
-0.17371770599999659	0.0
-0.16971770599999658	0.0
-0.16571770599999658	0.0
-0.16171770599999657	0.0
-0.15771770599999657	0.0
-0.15371770599999657	0.0
-0.14971770599999656	0.0
-0.14571770599999656	0.0
-0.14171770599999656	0.0
-0.13771770599999655	0.0
-0.13371770599999655	0.0
-0.12971770599999655	0.0
