Channel A: 
Mode: 2
N1/T1: 33.17 µs
Channel B: 
Mode: 1
N2/T2: 33.17 µs
tau (µs)	g2 Values
-250.26163699999978	0.0
-249.74963699999978	0.0
-249.23763699999978	0.0
-248.72563699999978	0.0
-248.21363699999978	0.0
-247.70163699999978	0.0
-247.18963699999978	0.0
-246.67763699999978	0.0
-246.16563699999978	0.0
-245.65363699999978	0.0
-245.14163699999978	0.0
-244.62963699999978	0.0
-244.11763699999977	0.0
-243.60563699999977	0.0
-243.09363699999977	0.0
-242.58163699999977	0.0
-242.06963699999977	0.0
-241.55763699999977	0.0
-241.04563699999977	0.0
-240.53363699999977	0.0
-240.02163699999977	0.0
-239.50963699999977	0.0
-238.99763699999977	0.0
-238.48563699999977	0.0
-237.97363699999977	0.0
-237.46163699999977	0.0
-236.94963699999977	0.0
-236.43763699999977	0.0
-235.92563699999977	0.0
-235.41363699999977	0.0
-234.90163699999977	0.0
-234.38963699999977	0.0
-233.87763699999977	0.0
-233.36563699999977	0.0
-232.85363699999976	0.0
-232.34163699999976	0.0
-231.82963699999976	0.0
-231.31763699999976	0.0
-230.80563699999976	0.0
-230.29363699999976	0.0
-229.78163699999976	0.0
-229.26963699999976	0.0
-228.75763699999976	0.0
-228.24563699999976	0.0
-227.73363699999976	0.0
-227.22163699999976	0.0
-226.70963699999976	0.0
-226.19763699999976	0.0
-225.68563699999976	0.0
-225.17363699999976	0.0
-224.66163699999976	0.0
-224.14963699999976	0.0
-223.63763699999976	0.0
-223.12563699999976	0.0
-222.61363699999976	0.0
-222.10163699999976	0.0
-221.58963699999975	0.0
-221.07763699999975	0.0
-220.56563699999975	0.0
-220.05363699999975	0.0
-219.54163699999975	0.0
-219.02963699999975	0.0
-218.51763699999975	0.0
-218.00563699999975	0.0
-217.49363699999975	0.0
-216.98163699999975	0.0
-216.46963699999975	0.0
-215.95763699999975	0.0
-215.44563699999975	0.0
-214.93363699999975	0.0
-214.42163699999975	0.0
-213.90963699999975	0.0
-213.39763699999975	0.0
-212.88563699999975	0.0
-212.37363699999975	0.0
-211.86163699999975	0.0
-211.34963699999975	0.0
-210.83763699999975	0.0
-210.32563699999974	0.0
-209.81363699999974	0.0
-209.30163699999974	0.0
-208.78963699999974	0.0
-208.27763699999974	0.0
-207.76563699999974	0.0
-207.25363699999974	0.0
-206.74163699999974	0.0
-206.22963699999974	0.0
-205.71763699999974	0.0
-205.20563699999974	0.0
-204.69363699999974	0.0
-204.18163699999974	0.0
-203.66963699999974	0.0
-203.15763699999974	0.0
-202.64563699999974	0.0
-202.13363699999974	0.0
-201.62163699999974	0.0
-201.10963699999974	0.0
-200.59763699999974	0.0
-200.08563699999974	0.0
-199.57363699999974	0.0
-199.06163699999973	0.0
-198.54963699999973	0.0
-198.03763699999973	0.0
-197.52563699999973	0.0
-197.01363699999973	0.0
-196.50163699999973	0.0
-195.98963699999973	0.0
-195.47763699999973	0.0
-194.96563699999973	0.0
-194.45363699999973	0.0
-193.94163699999973	0.0
-193.42963699999973	0.0
-192.91763699999973	0.0
-192.40563699999973	0.0
-191.89363699999973	0.0
-191.38163699999973	0.0
-190.86963699999973	0.0
-190.35763699999973	0.0
-189.84563699999973	0.0
-189.33363699999973	0.0
-188.82163699999973	0.0
-188.30963699999973	0.0
-187.79763699999972	0.0
-187.28563699999972	0.0
-186.77363699999972	0.0
-186.26163699999972	0.0
-185.74963699999972	0.0
-185.23763699999972	0.0
-184.72563699999972	0.0
-184.21363699999972	0.0
-183.70163699999972	0.0
-183.18963699999972	0.0
-182.67763699999972	0.0
-182.16563699999972	0.0
-181.65363699999972	0.0
-181.14163699999972	0.0
-180.62963699999972	0.0
-180.11763699999972	0.0
-179.60563699999972	0.0
-179.09363699999972	0.0
-178.58163699999972	0.0
-178.06963699999972	0.0
-177.55763699999972	0.0
-177.04563699999972	0.0
-176.53363699999971	0.0
-176.0216369999997	0.0
-175.5096369999997	0.0
-174.9976369999997	0.0
-174.4856369999997	0.0
-173.9736369999997	0.0
-173.4616369999997	0.0
-172.9496369999997	0.0
-172.4376369999997	0.0
-171.9256369999997	0.0
-171.4136369999997	0.0
-170.9016369999997	0.0
-170.3896369999997	0.0
-169.8776369999997	0.0
-169.3656369999997	0.0
-168.8536369999997	0.0
-168.3416369999997	0.0
-167.8296369999997	0.0
-167.3176369999997	0.0
-166.8056369999997	0.0
-166.2936369999997	0.0
-165.7816369999997	0.0
-165.2696369999997	0.0
-164.7576369999997	0.0
-164.2456369999997	0.0
-163.7336369999997	0.0
-163.2216369999997	0.0
-162.7096369999997	0.0
-162.1976369999997	0.0
-161.6856369999997	0.0
-161.1736369999997	0.0
-160.6616369999997	0.0
-160.1496369999997	0.0
-159.6376369999997	0.0
-159.1256369999997	0.0
-158.6136369999997	0.0
-158.1016369999997	0.0
-157.5896369999997	0.0
-157.0776369999997	0.0
-156.5656369999997	0.0
-156.0536369999997	0.0
