DifferenceValue 	 Stop
3939670462	5
147157571	1
231180830	2
1840176190	3
2247167257	4
2951227437	5
63674130	1
608683039	2
1385676679	3
1475619902	4
3789625348	5
959017229	1
2233054791	2
2525009217	3
3020026677	4
3853025112	5
195704015	1
1330702045	2
1362723692	3
1990675795	4
3792704537	5
319923708	1
427945207	2
724964735	3
1542925273	4
2023917856	5
94578085	1
198521262	2
568580634	3
1619500637	4
1910570148	5
919734016	1
1239768416	2
2981727067	3
3017750463	4
3050743745	5
1335337492	1
1547318703	2
2550321833	3
3603316790	4
3949344275	5
949096587	1
1184089457	2
2331087370	3
2465067080	4
2728088297	5
1328925675	1
2149924110	2
3019879232	3
3334898605	4
3854879521	5
1035777296	1
1558798127	2
1795792796	3
2404731860	4
2425474964	5
2467145056	1
3465131666	2
3822151027	3
3972130855	4
639680775	1
1356671150	2
2412702458	3
3107694631	4
3394713996	5
193933733	1
399913365	2
1212913423	3
1303893429	4
1366876681	5
856262980	1
1088242872	2
2854246407	3
3122226068	4
3892262864	5
34511593	1
194493044	2
1251486146	3
2808478205	4
3004511129	5
617364918	1
1953400726	2
2315379925	3
2675407621	4
3867363585	5
617110670	1
1210102786	2
1744091599	3
2411158736	4
2959111075	5
359473082	1
938463741	2
2145459623	3
2310479347	4
2894430016	5
256352727	1
850304960	2
915366474	3
3117294055	4
529239625	1
833219030	2
1429251217	3
1638270808	4
1762208887	5
1422531466	1
3341577740	2
3675555572	3
3696295547	4
3907573510	5
663435123	1
2289443819	2
2339467072	3
3102465739	4
3946424166	5
769897885	1
1805876506	2
2571917004	3
3055896262	4
3435874015	5
496265242	1
1541261707	2
1973294335	3
2330235370	4
863775845	1
1160766979	2
1229750174	3
1779729255	4
1972750522	5
304302995	1
465295866	2
1525334003	3
1739311920	4
2402299053	5
772614285	1
2538621695	2
3202652487	3
3528633698	4
3707653531	5
944974069	1
1139915336	2
1160978589	3
3178907338	4
3324940456	5
1181961838	1
3238949901	2
3418929561	3
3600909221	4
3767897368	5
969002493	1
1019985916	2
1441967072	3
1830978263	4
3503964346	5
723838701	1
1143819572	2
1574822238	3
1847853553	4
2350804327	5
2243288679	1
2587242929	2
3895282013	3
3974265243	4
62090616	1
944138855	2
1337080007	3
2052072007	4
3789120530	5
1245856277	1
1785810471	2
2728808442	3
3125827642	4
3705856567	5
139688891	1
1924733945	2
2351726352	3
3301714471	4
3449684080	5
391554967	1
1895565629	2
3186563137	3
3388544362	4
3961616424	5
1333142622	1
1353887637	2
1829163502	3
2321115841	4
3241102509	5
1841414769	1
2152355747	2
2690414769	3
2883404450	4
2980385957	5
87236791	1
265218077	2
2091228042	3
2440167164	4
3403165368	5
1718835225	1
2314862414	2
2579803392	3
2648786754	4
2878819746	5
69568295	1
601598891	2
1277631085	3
1961609876	4
2487560472	5
977437152	1
2426434545	2
3120384793	3
3252444512	4
3760425125	5
302178808	1
631199933	2
945179156	3
993199064	4
1070182459	5
653617988	1
1044637228	2
1896590666	3
3174628303	4
3221611555	5
1753211739	1
1773953391	2
3372220434	3
3764201355	4
3905212840	5
1748693585	1
2840650004	2
3241644208	3
3413623899	4
1039999478	1
1397978791	2
1434002086	3
2273963924	4
3212983717	5
289781730	1
590802939	2
1924762317	3
2553766084	4
3911800447	5
804632186	1
1917629462	2
3080628361	3
3339646615	4
3360389835	5
633428227	1
1118367814	2
1724402238	3
3241399167	4
3373379173	5
1131434892	1
1561469555	2
1611412807	3
2007469207	4
2440460570	5
362474851	1
757467607	2
1472478038	3
2015498957	4
2678491192	5
745854822	1
797797946	2
2115809079	3
2200790698	4
3227789017	5
282036739	1
393978237	2
1004010257	3
2807003767	4
3503032509	5
353901561	1
387924979	2
792862305	3
1270888113	4
2621883708	5
64272396	1
501290072	2
732311283	3
2352238409	4
203169063	1
259110506	2
1876105809	3
3417154743	4
3608094214	5
1331955520	1
2239912141	2
2506933270	3
2719956273	4
3062967282	5
247439414	1
370417448	2
1717461624	3
1977441153	4
2175420754	5
1188726857	1
2028770533	2
2132713659	3
3640719575	4
147070065	1
1255109354	2
2013070529	3
2593103327	4
2892124884	5
1025269008	1
1818268544	2
2678304613	3
3559304091	4
3970245535	5
461116476	1
481859691	2
551179671	3
916129523	4
1952177294	5
318985984	1
801019139	2
3083991301	3
3672982737	4
3697006264	5
264142801	1
312166110	2
776145642	3
912127087	4
1182186630	5
1154793796	1
1638848175	2
1981839764	3
2036819577	4
3083817083	5
780150062	1
1278098225	2
1298841503	3
3004150641	4
3024893951	5
306512519	1
668572295	2
2578503130	3
3623501101	4
3965560993	5
976337075	1
1295330236	2
1483310298	3
1699290166	4
3536340726	5
200934310	1
225916039	2
438929264	3
1040910703	4
3368921550	5
548120303	1
1541118390	2
2840168191	3
3087188022	4
3366128015	5
301011767	1
946004811	2
1205984581	3
2458022665	4
3911010260	5
333987253	1
666017131	2
2077971435	3
2682004442	4
2765947621	5
398970196	1
933963355	2
2720927580	3
3082985906	4
3469923986	5
471813776	1
614753711	2
999775039	3
2637784723	4
3470782693	5
174711500	1
290734695	2
550689587	3
2442726695	4
2506721587	5
137483916	1
2280505737	2
2494485539	3
2519548908	4
3866546764	5
947786909	1
1173856748	2
2186852306	3
3026811341	4
1029340206	1
1142401662	2
2220410187	3
3274366939	4
3490346643	5
387946787	1
1314015490	2
2177016185	3
2694968698	4
3348947831	5
83582436	1
234603821	2
1299602082	3
1341625348	4
2234625637	5
630210682	1
1272199786	2
3278208132	3
3298949728	4
3587155889	5
28451122	1
282432457	2
705453383	3
726196659	4
2949389839	5
310112770	1
1027103091	2
3193112597	3
3460130564	4
3632108655	5
1126424087	1
2357410004	2
3235398297	3
3577429329	4
1944438253	1
2352469227	2
2802450218	3
2934429966	4
2955171505	5
898843505	1
3503799287	2
3778820498	3
3799563775	4
255040303	1
289063658	2
604083172	3
2123052231	4
2415033354	5
64246696	1
784226043	2
1133217407	3
3505226797	4
3571250000	5
939073103	1
2387104894	2
2554124594	3
2887064296	4
3541115150	5
1322077754	1
2264113284	2
2314056642	3
3213085527	4
3676076710	5
779584937	1
2088579024	2
2605598794	3
3022591953	4
3533613115	5
371252086	1
2055264485	2
2805305779	3
3128245596	4
3411267035	5
2067083999	1
2093108974	2
2331090547	3
3148091706	4
3183074901	5
793917690	1
2358917342	2
2713910276	3
2810893478	4
2834916763	5
144867290	1
637888205	2
2149845803	3
2336867001	4
2357610456	5
205995	1
167199038	2
748219968	3
951241361	4
2260209416	5
732956735	1
781940107	2
905961833	3
3371982690	4
3616932762	5
272848647	1
1443850037	2
2199811400	3
3121852875	4
3915842566	5
1809798461	1
1931821782	2
1960805132	3
2060821666	4
3077829111	5
305160433	1
852177763	2
947160896	3
2871167388	4
3029146967	5
939364216	1
1842360737	2
2371298064	3
2532319573	4
3830345199	5
1439872508	1
1895905168	2
3221864802	3
3366884773	4
3805872393	5
78985503	1
208965380	2
238990316	3
2264997564	4
3012978312	5
1147285485	1
2391297195	2
2589276847	3
3168296036	4
3627290297	5
166828848	1
260848739	2
3089807862	3
3425789253	4
3620805833	5
302672594	1
399705829	2
1746701362	3
2859717139	4
3558709889	5
64481090	1
317472627	2
1369506550	3
2225494249	4
2533473903	5
675246522	1
1462263970	2
1862243450	3
2298277997	4
2497296270	5
1598933	1
243578512	2
3150614384	3
3703606552	4
3724349745	5
509304436	1
926295154	2
2707261893	3
3843294632	4
1292612527	1
2022591584	2
2176546372	3
3411544516	4
3432287786	5
1275857438	1
2917870247	2
3051853323	3
3654847643	4
3686870943	5
306571370	1
327314587	2
1434569688	3
2480606443	4
2932587428	5
2632434022	1
2736373841	2
3033383288	3
3453364393	4
3634383926	5
235140704	1
2179144297	2
2261167534	3
2951117930	4
3431178808	5
549962090	1
638945213	2
2227911170	3
2477970712	4
2547912388	5
1576664437	1
1717604139	2
2208675157	3
2783614164	4
3032608833	5
577017050	1
2503041978	2
2988029456	3
3627048123	4
3963000870	5
1924055076	1
2290035993	2
2613055482	3
2731008584	4
3571046898	5
302175735	1
1105175677	2
1554186457	3
3301177996	4
3630172316	5
604695672	1
824756839	2
1417749073	3
1704686920	4
951258869	1
975282068	2
1366274764	3
1855295458	4
2220313138	5
299582844	1
859615147	2
2204610684	3
2322633810	4
3342589992	5
214216666	1
976201703	2
1535195326	3
1555936978	4
2014254580	5
854763370	1
1310740846	2
2072779361	3
3369776696	4
3508764761	5
358488900	1
1189485829	2
1573466822	3
2115419214	4
3967424314	5
1121875638	1
1278895350	2
2062853722	3
3168891524	4
3768843518	5
231094800	1
609074557	2
1289107262	3
1369050675	4
3221060529	5
1026963684	1
2410974511	2
2584004171	3
3363993628	4
3988986560	5
1200594140	1
1957613468	2
2218553344	3
3283552475	4
3519583941	5
1323535954	1
1777487365	2
2497546851	3
2727501797	4
3707539548	5
1995676479	1
2596696949	2
2904676421	3
3050709529	4
3071452747	5
371195094	1
496256609	2
3623211210	3
3696194399	4
3829214051	5
86760664	1
318738815	2
520797026	3
3037782944	4
52014872	1
491995770	2
518017479	3
1083966625	4
2590961121	5
485753420	1
973732834	2
3120776029	3
3242798935	4
3717789885	5
17074847	1
434095888	2
2033066616	3
3639072412	4
3683095830	5
2198693818	1
2895684370	2
3357663676	3
3670652997	4
3929670806	5
136986551	1
420966254	2
2192976167	3
2381992696	4
2900021681	5
501435354	1
1164502204	2
1791442489	3
2047475321	4
2123498550	5
386159309	1
672218795	2
2627199786	3
3039152238	4
3252175156	5
341377435	1
795356451	2
1484348336	3
1511328441	4
1814349495	5
17096849	1
1399022185	2
2094040605	3
2639030989	4
2866062326	5
73785827	1
275845312	2
463826532	3
898817313	4
2460774057	5
555794798	1
788812616	2
943832378	3
2258797812	4
3755794509	5
351599724	1
653552471	2
1028573109	3
2002612826	4
62034743	1
370014081	2
577033758	3
903014661	4
2389985107	5
527729242	1
1121756262	2
1638771679	3
1659514895	4
2083722458	5
454130271	1
538073279	2
1324108493	3
1766089091	4
2859086774	5
489354023	1
673335364	2
2028331018	3
2602361266	4
2814339188	5
768767620	1
1323706627	2
1430769764	3
1708720904	4
3171720151	5
2083902297	1
2337881882	2
2655862879	3
3257894873	4
3412914650	5
602399872	1
1197386769	2
1751365782	3
2042386769	4
3148421150	5
1667052997	1
2017080533	2
2680099146	3
3011106742	4
3080089984	5
102386419	1
282362653	2
1184422313	3
1205162272	4
3641388796	5
13002899	1
1197997739	2
