Channel A: 
Mode: 2
N1/T1: 40.65 µs
Channel B: 
Mode: 1
N2/T2: 40.65 µs
tau (µs)	g2 Values
-438.5337680000292	0.0
-438.0217680000293	0.0
-437.50976800002934	0.0
-436.9977680000294	0.0
-436.48576800002945	0.0
-435.9737680000295	0.0
-435.46176800002956	0.0
-434.9497680000296	0.0
-434.4377680000297	0.0
-433.92576800002973	0.0
-433.4137680000298	0.0
-432.90176800002985	0.0
-432.3897680000299	0.0
-431.87776800002996	0.0
-431.36576800003	0.0
-430.8537680000301	0.0
-430.34176800003013	0.0
-429.8297680000302	0.0
-429.31776800003024	0.0
-428.8057680000303	0.0
-428.29376800003035	0.0
-427.7817680000304	0.0
-427.26976800003047	0.0
-426.7577680000305	0.0
-426.2457680000306	0.0
-425.73376800003064	0.0
-425.2217680000307	0.0
-424.70976800003075	0.0
-424.1977680000308	0.0
-423.68576800003086	0.0
-423.1737680000309	0.0
-422.661768000031	0.0
-422.14976800003103	0.0
-421.6377680000311	0.0
-421.12576800003114	0.0
-420.6137680000312	0.0
-420.10176800003126	0.0
-419.5897680000313	0.0
-419.07776800003137	0.0
-418.5657680000314	0.0
-418.0537680000315	0.0
-417.54176800003154	0.0
-417.0297680000316	0.0
-416.51776800003165	0.0
-416.0057680000317	0.0
-415.49376800003176	0.0
-414.9817680000318	0.0
-414.4697680000319	0.0
-413.95776800003193	0.0
-413.445768000032	0.0
-412.93376800003205	0.0
-412.4217680000321	0.0
-411.90976800003216	0.0
-411.3977680000322	0.0
-410.8857680000323	0.0
-410.3737680000323	0.0
-409.8617680000324	0.0
-409.34976800003244	0.0
-408.8377680000325	0.0
-408.32576800003255	0.0
-407.8137680000326	0.0
-407.30176800003267	0.0
-406.7897680000327	0.0
-406.2777680000328	0.0
-405.76576800003284	0.0
-405.2537680000329	0.0
-404.74176800003295	0.0
-404.229768000033	0.0
-403.71776800003306	0.0
-403.2057680000331	0.0
-402.6937680000332	0.0
-402.18176800003323	0.0
-401.6697680000333	0.0
-401.15776800003334	0.0
-400.6457680000334	0.0
-400.13376800003346	0.0
-399.6217680000335	0.0
-399.10976800003357	0.0
-398.5977680000336	0.0
-398.0857680000337	0.0
-397.57376800003374	0.0
-397.0617680000338	0.0
-396.54976800003385	0.0
-396.0377680000339	0.0
-395.52576800003396	0.0
-395.013768000034	0.0
-394.5017680000341	0.0
-393.98976800003413	0.0
-393.4777680000342	0.0
-392.96576800003425	0.0
-392.4537680000343	0.0
-391.94176800003436	0.0
-391.4297680000344	0.0
-390.91776800003447	0.0
-390.4057680000345	0.0
-389.8937680000346	0.0
-389.38176800003464	0.0
-388.8697680000347	0.0
-388.35776800003475	0.0
-387.8457680000348	0.0
-387.33376800003487	0.0
-386.8217680000349	0.0
-386.309768000035	0.0
-385.79776800003503	0.0
-385.2857680000351	0.0
-384.77376800003515	0.0
-384.2617680000352	0.0
-383.74976800003526	0.0
-383.2377680000353	0.0
-382.7257680000354	0.0
-382.21376800003543	0.0
-381.7017680000355	0.0
-381.18976800003554	0.0
-380.6777680000356	0.0
-380.16576800003565	0.0
-379.6537680000357	0.0
-379.14176800003577	0.0
-378.6297680000358	0.0
-378.1177680000359	0.0
-377.60576800003594	0.0
-377.093768000036	0.0
-376.58176800003605	0.0
-376.0697680000361	0.0
-375.55776800003616	0.0
-375.0457680000362	0.0
-374.5337680000363	0.0
-374.02176800003633	0.0
-373.5097680000364	0.0
-372.99776800003644	0.0
-372.4857680000365	0.0
-371.97376800003656	0.0
-371.4617680000366	0.0
-370.94976800003667	0.0
-370.4377680000367	0.0
-369.9257680000368	0.0
-369.41376800003684	0.0
-368.9017680000369	0.0
-368.38976800003695	0.0
-367.877768000037	0.0
-367.36576800003706	0.0
-366.8537680000371	0.0
-366.3417680000372	0.0
-365.82976800003723	0.0
-365.3177680000373	0.0
-364.80576800003735	0.0
-364.2937680000374	0.0
-363.78176800003746	0.0
-363.2697680000375	0.0
-362.7577680000376	0.0
-362.24576800003763	0.0
-361.7337680000377	0.0
-361.22176800003774	0.0
-360.7097680000378	0.0
-360.19776800003785	0.0
-359.6857680000379	0.0
-359.17376800003797	0.0
-358.661768000038	0.0
-358.1497680000381	0.0
-357.63776800003814	0.0
-357.1257680000382	0.0
-356.61376800003825	0.0
-356.1017680000383	0.0
-355.58976800003836	0.0
-355.0777680000384	0.0
-354.5657680000385	0.0
-354.05376800003853	0.0
-353.5417680000386	0.0
-353.02976800003864	0.0
-352.5177680000387	0.0
-352.00576800003876	0.0
-351.4937680000388	0.0
-350.98176800003887	0.0
-350.4697680000389	0.0
-349.957768000039	0.0
-349.44576800003904	0.0
-348.9337680000391	0.0
-348.42176800003915	0.0
-347.9097680000392	0.0
-347.39776800003926	0.0
-346.8857680000393	0.0
-346.3737680000394	0.0
-345.86176800003943	0.0
-345.3497680000395	0.0
-344.83776800003955	0.0
-344.3257680000396	0.0
-343.81376800003966	0.0
-343.3017680000397	0.0
-342.78976800003977	0.0
-342.2777680000398	0.0
-341.7657680000399	0.0
-341.25376800003994	0.0
-340.74176800004	0.0
-340.22976800004005	0.0
-339.7177680000401	0.0
-339.20576800004017	0.0
-338.6937680000402	0.0
-338.1817680000403	0.0
-337.66976800004034	0.0
-337.1577680000404	0.0
-336.64576800004045	0.0
-336.1337680000405	0.0
-335.62176800004056	0.0
-335.1097680000406	0.0
-334.5977680000407	0.0
-334.08576800004073	0.0
-333.5737680000408	0.0
-333.06176800004084	0.0
-332.5497680000409	0.0
-332.03776800004096	0.0
-331.525768000041	0.0
-331.01376800004107	0.0
-330.5017680000411	0.0
-329.9897680000412	0.0
-329.47776800004124	0.0
-328.9657680000413	0.0
-328.45376800004135	0.0
-327.9417680000414	0.0
-327.42976800004146	0.0
-326.9177680000415	0.0
-326.4057680000416	0.0
-325.89376800004163	0.0
-325.3817680000417	0.0
-324.86976800004174	0.0
-324.3577680000418	0.0
-323.84576800004186	0.0
-323.3337680000419	0.0
-322.82176800004197	0.0
-322.309768000042	0.0
-321.7977680000421	0.0
-321.28576800004214	0.0
-320.7737680000422	0.0
-320.26176800004225	0.0
-319.7497680000423	0.0
-319.23776800004237	0.0
-318.7257680000424	0.0
-318.2137680000425	0.0
-317.70176800004253	0.0
-317.1897680000426	0.0
-316.67776800004265	0.0
-316.1657680000427	0.0
-315.65376800004276	0.0
-315.1417680000428	0.0
-314.6297680000429	0.0
-314.11776800004293	0.0
-313.605768000043	0.0
-313.09376800004304	0.0
-312.5817680000431	0.0
-312.06976800004315	0.0
-311.5577680000432	0.0
-311.04576800004327	0.0
-310.5337680000433	0.0
-310.0217680000434	0.0
-309.50976800004344	0.0
-308.9977680000435	0.0
-308.48576800004355	0.0
-307.9737680000436	0.0
-307.46176800004366	0.0
-306.9497680000437	0.0
-306.4377680000438	0.0
-305.92576800004383	0.0
-305.4137680000439	0.0
-304.90176800004394	0.0
-304.389768000044	0.0
-303.87776800004406	0.0
-303.3657680000441	0.0
-302.85376800004417	0.0
-302.3417680000442	0.0
-301.8297680000443	0.0
-301.31776800004434	0.0
-300.8057680000444	0.0
-300.29376800004445	0.0
-299.7817680000445	0.0
-299.26976800004456	0.0
-298.7577680000446	0.0
-298.2457680000447	0.0
-297.73376800004473	0.0
-297.2217680000448	0.0
-296.70976800004485	0.0
-296.1977680000449	0.0
-295.68576800004496	0.0
-295.173768000045	0.0
-294.6617680000451	0.0
-294.1497680000451	0.0
-293.6377680000452	0.0
-293.12576800004524	0.0
-292.6137680000453	0.0
-292.10176800004535	0.0
-291.5897680000454	0.0
-291.07776800004547	0.0
-290.5657680000455	0.0
-290.0537680000456	0.0
-289.54176800004564	0.0
-289.0297680000457	0.0
-288.51776800004575	0.0
-288.0057680000458	0.0
-287.49376800004586	0.0
-286.9817680000459	0.0
-286.469768000046	0.0
-285.95776800004603	0.0
-285.4457680000461	0.0
-284.93376800004614	0.0
-284.4217680000462	0.0
-283.90976800004626	0.0
-283.3977680000463	0.0
-282.88576800004637	0.0
-282.3737680000464	0.0
-281.8617680000465	0.0
-281.34976800004654	0.0
-280.8377680000466	0.0
-280.32576800004665	0.0
-279.8137680000467	0.0
-279.30176800004676	0.0
-278.7897680000468	0.0
-278.2777680000469	0.0
-277.76576800004693	0.0
-277.253768000047	0.0
-276.74176800004705	0.0
-276.2297680000471	0.0
-275.71776800004716	0.0
-275.2057680000472	0.0
-274.69376800004727	0.0
-274.1817680000473	0.0
-273.6697680000474	0.0
-273.15776800004744	0.0
-272.6457680000475	0.0
-272.13376800004755	0.0
-271.6217680000476	0.0
-271.10976800004767	0.0
-270.5977680000477	0.0
-270.0857680000478	0.0
-269.57376800004783	0.0
-269.0617680000479	0.0
-268.54976800004795	0.0
-268.037768000048	0.0
-267.52576800004806	0.0
-267.0137680000481	0.0
-266.5017680000482	0.0
-265.98976800004823	0.0
-265.4777680000483	0.0
-264.96576800004834	0.0
-264.4537680000484	0.0
-263.94176800004846	0.0
-263.4297680000485	0.0
-262.91776800004857	0.0
-262.4057680000486	0.0
-261.8937680000487	0.0
-261.38176800004874	0.0
-260.8697680000488	0.0
-260.35776800004885	0.0
-259.8457680000489	0.0
-259.33376800004896	0.0
-258.821768000049	0.0
-258.3097680000491	0.0
-257.79776800004913	0.0
-257.2857680000492	0.0
-256.77376800004924	0.0
-256.2617680000493	0.0
-255.74976800004936	0.0
-255.2377680000494	0.0
-254.72576800004947	0.0
-254.21376800004953	0.0
-253.70176800004958	0.0
-253.18976800004964	0.0
-252.6777680000497	0.0
-252.16576800004975	0.0
-251.6537680000498	0.0
-251.14176800004986	0.0
-250.62976800004992	0.0
-250.11776800004998	0.0
-249.60576800005003	0.0
-249.0937680000501	0.0
-248.58176800005015	0.0
-248.0697680000502	0.0
-247.55776800005026	0.0
-247.04576800005032	0.0
-246.53376800005037	0.0
-246.02176800005043	0.0
-245.50976800005049	0.0
-244.99776800005054	0.0
-244.4857680000506	0.0
-243.97376800005065	0.0
-243.4617680000507	0.0
-242.94976800005077	0.0
-242.43776800005082	0.0
-241.92576800005088	0.0
-241.41376800005094	0.0
-240.901768000051	0.0
-240.38976800005105	0.0
-239.8777680000511	0.0
-239.36576800005116	0.0
-238.85376800005122	0.0
-238.34176800005127	0.0
-237.82976800005133	0.0
-237.3177680000514	0.0
-236.80576800005144	0.0
-236.2937680000515	0.0
-235.78176800005156	0.0
-235.2697680000516	0.0
-234.75776800005167	0.0
-234.24576800005173	0.0
-233.73376800005178	0.0
-233.22176800005184	0.0
-232.7097680000519	0.0
-232.19776800005195	0.0
-231.685768000052	0.0
-231.17376800005206	0.0
-230.66176800005212	0.0
-230.14976800005218	0.0
-229.63776800005223	0.0
-229.1257680000523	0.0
-228.61376800005235	0.0
-228.1017680000524	0.0
-227.58976800005246	0.0
-227.07776800005252	0.0
-226.56576800005257	0.0
-226.05376800005263	0.0
-225.54176800005268	0.0
-225.02976800005274	0.0
-224.5177680000528	0.0
-224.00576800005285	0.0
-223.4937680000529	0.0
-222.98176800005297	0.0
-222.46976800005302	0.0
-221.95776800005308	0.0
-221.44576800005314	0.0
-220.9337680000532	0.0
-220.42176800005325	0.0
-219.9097680000533	0.0
-219.39776800005336	0.0
-218.88576800005342	0.0
-218.37376800005347	0.0
-217.86176800005353	0.0
-217.3497680000536	0.0
-216.83776800005364	0.0
-216.3257680000537	0.0
-215.81376800005376	0.0
-215.3017680000538	0.0
-214.78976800005387	0.0
-214.27776800005392	0.0
-213.76576800005398	0.0
-213.25376800005404	0.0
-212.7417680000541	0.0
-212.22976800005415	0.0
-211.7177680000542	0.0
-211.20576800005426	0.0
-210.69376800005432	0.0
-210.18176800005438	0.0
-209.66976800005443	0.0
-209.1577680000545	0.0
-208.64576800005455	0.0
-208.1337680000546	0.0
-207.62176800005466	0.0
-207.10976800005471	0.0
-206.59776800005477	0.0
-206.08576800005483	0.0
-205.57376800005488	0.0
-205.06176800005494	0.0
-204.549768000055	0.0
-204.03776800005505	0.0
-203.5257680000551	0.0
-203.01376800005517	0.0
-202.50176800005522	0.0
-201.98976800005528	0.0
-201.47776800005533	0.0
-200.9657680000554	0.0
-200.45376800005545	0.0
-199.9417680000555	0.0
-199.42976800005556	0.0
-198.91776800005562	0.0
-198.40576800005567	0.0
-197.89376800005573	0.0
-197.38176800005579	0.0
-196.86976800005584	0.0
-196.3577680000559	0.0
-195.84576800005595	0.0
-195.333768000056	0.0
-194.82176800005607	0.0
-194.30976800005612	0.0
-193.79776800005618	0.0
-193.28576800005624	0.0
-192.7737680000563	0.0
-192.26176800005635	0.0
-191.7497680000564	0.0
-191.23776800005646	0.0
-190.72576800005652	0.0
-190.21376800005658	0.0
-189.70176800005663	0.0
-189.1897680000567	0.0
-188.67776800005674	0.0
-188.1657680000568	0.0
-187.65376800005686	0.0
-187.1417680000569	0.0
-186.62976800005697	0.0
-186.11776800005703	0.0
-185.60576800005708	0.0
-185.09376800005714	0.0
-184.5817680000572	0.0
-184.06976800005725	0.0
-183.5577680000573	0.0
-183.04576800005736	0.0
-182.53376800005742	0.0
-182.02176800005748	0.0
-181.50976800005753	0.0
-180.9977680000576	0.0
-180.48576800005765	0.0
-179.9737680000577	0.0
-179.46176800005776	0.0
-178.94976800005782	0.0
-178.43776800005787	0.0
-177.92576800005793	0.0
-177.41376800005798	0.0
-176.90176800005804	0.0
-176.3897680000581	0.0
-175.87776800005815	0.0
-175.3657680000582	0.0
-174.85376800005827	0.0
-174.34176800005832	0.0
-173.82976800005838	0.0
-173.31776800005844	0.0
-172.8057680000585	0.0
-172.29376800005855	0.0
-171.7817680000586	0.0
-171.26976800005866	0.0
-170.75776800005872	0.0
-170.24576800005877	0.0
-169.73376800005883	0.0
-169.2217680000589	0.0
-168.70976800005894	0.0
-168.197768000059	0.0
-167.68576800005906	0.0
-167.1737680000591	0.0
-166.66176800005917	0.0
-166.14976800005923	0.0
-165.63776800005928	0.0
-165.12576800005934	0.0
-164.6137680000594	0.0
-164.10176800005945	0.0
-163.5897680000595	0.0
-163.07776800005956	0.0
-162.56576800005962	0.0
-162.05376800005968	0.0
-161.54176800005973	0.0
-161.0297680000598	0.0
-160.51776800005985	0.0
-160.0057680000599	0.0
-159.49376800005996	0.0
-158.98176800006001	0.0
-158.46976800006007	0.0
